,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,LotArea,LotFrontage,BsmtFinSF1,BsmtUnfSF,OverallQual,GrLivArea,ExterQual,KitchenQual,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,Id,SalePrice,clusters
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8500,50.0,0,649,4,1317,2,2,1,250,649,649,1,6,1920,1950,31,40000,0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11049,85.0,0,1234,8,1234,3,3,2,484,1234,1234,2,7,2007,2007,33,179900,3
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10552,70.0,1018,380,5,1700,2,3,2,447,1398,1700,1,6,1959,1959,34,165500,3
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7313,60.0,1153,408,9,1561,4,4,2,556,1561,1561,2,6,2005,2005,35,277500,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13418,108.0,0,1117,8,2452,3,3,3,691,1117,1132,3,9,2004,2005,36,309000,2
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10859,112.0,0,1097,5,1097,2,2,2,672,1097,1097,1,6,1994,1995,37,145000,0
37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8532,74.0,1213,84,5,1297,2,2,2,498,1297,1297,1,5,1954,1990,38,153000,0
38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7922,68.0,731,326,5,1057,2,3,1,246,1057,1057,1,5,1953,2007,39,109000,0
39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6040,65.0,0,0,4,1152,2,1,0,0,0,1152,2,6,1955,1955,40,82000,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8658,84.0,643,445,6,1324,2,2,2,440,1088,1324,2,6,1965,1965,41,160000,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16905,115.0,967,383,5,1328,2,2,1,308,1350,1328,1,5,1959,1959,42,170000,3
44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7945,70.0,179,465,5,1150,2,2,1,300,1150,1150,1,6,1959,1959,45,141000,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7658,61.0,456,1296,9,1752,4,4,2,576,1752,1752,2,6,2005,2005,46,319900,2
46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12822,48.0,1351,83,7,2149,3,3,2,670,1434,1518,1,6,2003,2003,47,239686,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11096,84.0,24,1632,8,1656,3,3,3,826,1656,1656,2,7,2006,2006,48,249700,1
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4456,33.0,0,736,4,1452,2,2,0,0,736,736,2,8,1920,2008,49,113000,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7742,66.0,763,192,5,955,2,2,1,386,955,955,1,6,1966,1966,50,127000,0
51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6240,52.0,0,816,6,1176,2,2,2,528,816,816,1,6,1934,1950,52,114500,0
52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8472,110.0,104,0,5,816,1,2,2,516,816,816,1,5,1963,1963,53,110000,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,50271,68.0,1810,32,9,1842,3,3,3,894,1842,1842,0,5,1981,1987,54,385000,2
54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7134,60.0,384,0,5,1360,2,2,2,572,384,1360,1,6,1955,1955,55,130000,0
55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10175,100.0,490,935,6,1425,2,2,2,576,1425,1425,2,7,1964,1964,56,180500,3
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2645,24.0,649,321,8,1739,3,3,2,480,970,983,2,7,1999,2000,57,172500,3
57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11645,89.0,0,860,7,1720,3,3,2,565,860,860,2,7,2004,2004,58,196500,3
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13682,66.0,0,1410,10,2945,4,3,3,641,1410,1426,3,10,2006,2006,59,438780,2
59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7200,60.0,632,148,5,780,2,2,1,352,780,780,1,4,1972,1972,60,124900,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13072,63.0,941,217,6,1158,2,3,2,576,1158,1158,1,5,2004,2004,61,158000,0
61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7200,60.0,0,530,5,1111,2,1,1,288,530,581,1,6,1920,1996,62,101000,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6442,44.0,24,1346,8,1370,3,3,2,484,1370,1370,2,6,2006,2006,63,202500,3
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10300,50.0,0,576,7,1710,2,2,2,480,576,902,2,9,1921,1950,64,140000,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9591,76.0,0,1143,8,2473,3,3,3,852,1143,1143,2,9,2004,2005,66,317000,2
67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10665,72.0,1013,440,7,1479,3,3,2,558,1453,1479,2,7,2003,2003,68,226000,1
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4608,47.0,0,747,4,747,2,2,1,220,747,747,1,4,1945,1950,69,80000,0
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15593,81.0,603,701,7,2287,3,2,2,667,1304,1304,2,7,1953,1953,70,225000,1
70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13651,95.0,1880,343,7,2223,2,2,2,516,2223,2223,2,8,1973,1973,71,244000,1
71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7599,69.0,565,280,4,845,2,2,2,360,845,845,1,4,1982,2006,72,129500,0
72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10141,74.0,0,832,7,1718,2,2,2,427,832,885,2,7,1998,1998,73,185000,3
73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10200,85.0,320,404,5,1086,2,2,2,490,1086,1086,1,6,1954,2003,74,144900,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5790,60.0,0,840,3,1605,3,2,1,379,840,840,2,8,1915,1950,75,107400,0
75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1596,21.0,462,0,4,988,2,2,1,297,462,526,1,5,1973,1973,76,91000,0
77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8635,50.0,336,295,5,1285,2,2,1,240,672,1072,1,6,1948,2001,78,127000,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10778,72.0,0,1768,4,1768,2,2,0,0,1768,1768,2,8,1968,1968,79,136500,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10440,60.0,0,440,5,1230,2,2,2,440,440,682,1,5,1910,1981,80,110000,0
80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13000,100.0,448,448,6,2142,2,3,1,509,896,1182,2,8,1968,1968,81,193500,3
81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4500,32.0,1201,36,6,1337,2,2,2,405,1237,1337,2,5,1998,1998,82,153500,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10206,78.0,33,1530,8,1563,2,3,3,758,1563,1563,2,6,2007,2007,83,245000,1
83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8892,80.0,0,1065,5,1065,2,2,2,461,1065,1065,1,6,1960,1960,84,126500,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16059,121.0,0,1288,8,2417,3,3,2,462,1288,1301,2,9,1991,1992,86,260000,1
86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11911,122.0,0,684,6,1560,3,3,2,400,684,684,2,6,2005,2005,87,174000,3
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3951,40.0,0,612,6,1224,3,3,2,528,612,612,2,4,2009,2009,88,164500,3
88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8470,105.0,0,1013,3,1526,1,1,0,0,1013,1013,1,6,1915,1982,89,85000,0
89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8070,60.0,588,402,4,990,2,2,0,0,990,990,1,5,1994,1995,90,123600,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7200,60.0,0,0,4,1040,2,2,2,420,0,1040,1,4,1950,1950,91,109900,0
91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8500,85.0,600,635,5,1235,2,2,2,480,1235,1235,1,6,1961,1961,92,98600,0
92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13360,80.0,713,163,5,964,2,2,2,432,876,964,1,5,1921,2006,93,163500,3
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7200,60.0,1046,168,6,2291,2,2,2,506,1214,1260,2,9,1910,1998,94,133900,0
94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9337,69.0,648,176,6,1786,2,3,2,684,824,905,2,7,1997,1997,95,204750,3
96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10264,78.0,1162,426,7,1588,3,3,2,472,1588,1588,2,6,1999,1999,97,214000,3
97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10921,73.0,520,440,4,960,2,2,1,432,960,960,1,6,1965,1965,98,94750,0
98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10625,85.0,108,350,5,835,2,2,1,366,458,835,1,5,1920,1950,99,83000,0
99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9320,77.0,569,381,4,1225,2,2,0,0,950,1225,1,6,1959,1959,100,128950,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9206,77.0,0,741,6,1732,3,3,2,476,741,977,2,7,1985,1985,102,178000,3
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7018,64.0,0,0,5,1535,2,2,2,410,0,1535,2,8,1979,1979,103,118964,0
103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10402,94.0,0,1226,7,1226,2,3,3,740,1226,1226,2,6,2009,2009,104,198900,3
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9375,75.0,0,1053,8,1992,3,3,2,648,1053,1053,2,9,2003,2004,106,250000,1
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10800,60.0,0,641,4,1047,2,2,1,273,641,1047,1,6,1885,1995,107,100000,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000,50.0,104,516,5,789,2,2,1,250,789,789,1,5,1948,1950,108,115000,0
108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,85.0,0,793,5,1517,2,1,0,0,793,997,2,7,1919,2005,109,115000,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11751,105.0,705,1139,6,1844,2,2,2,546,1844,1844,2,7,1977,1977,110,190000,3
110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9525,75.0,444,550,6,1855,2,2,1,325,994,1216,2,7,1954,1972,111,136900,0
112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9965,77.0,984,280,7,2696,3,4,3,792,1264,1282,2,10,2007,2007,113,383970,2
114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7259,61.0,774,104,6,2320,2,3,1,180,1028,1436,2,9,1945,2002,115,259500,1
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3230,34.0,419,310,6,1458,2,2,2,440,729,729,2,5,1999,1999,116,176000,3
117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8536,74.0,0,1125,5,1125,2,2,2,430,1125,1125,1,5,2006,2007,118,155000,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12376,90.0,1470,203,7,3222,2,3,3,594,1673,1699,3,11,1990,1990,119,320000,2
119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8461,65.0,0,728,6,1456,3,3,2,390,728,728,2,8,2005,2006,120,163990,3
121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6060,50.0,0,732,4,1123,2,2,1,264,732,772,1,4,1939,1950,122,100000,0
122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9464,75.0,570,510,6,1080,2,2,1,288,1080,1080,1,5,1958,1958,123,136000,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7892,55.0,300,899,6,1199,3,3,2,530,1199,1199,2,5,1993,1993,124,153900,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17043,48.0,0,1362,6,1586,2,2,2,435,1362,1586,2,7,1979,1998,125,181000,3
125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780,60.0,490,30,6,754,2,2,0,0,520,520,1,5,1935,1982,126,84500,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4388,55.0,116,556,5,840,2,2,0,0,672,840,1,5,1930,1950,128,87000,0
128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7590,69.0,512,148,6,1348,2,2,2,453,660,660,1,6,1966,1966,129,155000,0
129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8973,69.0,567,413,5,1053,2,4,2,750,1008,1053,1,6,1958,1991,130,150000,0
130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14200,88.0,445,479,7,2157,2,3,2,487,924,1216,2,8,1966,1966,131,226000,1
132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7388,75.0,405,658,5,1327,2,3,2,624,1063,1327,1,7,1959,2002,133,150750,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10335,78.0,570,891,5,1721,2,2,2,440,1461,1721,2,7,1968,1993,135,180000,3
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10400,80.0,0,1304,7,1682,2,2,2,530,1304,1682,2,7,1970,1970,136,174000,3
137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11070,82.0,0,1907,7,1959,2,2,3,766,1907,1959,3,9,1988,1989,138,171000,3
138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9066,73.0,668,336,8,1852,3,3,3,660,1004,1004,2,7,1999,2000,139,230000,1
139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15426,65.0,821,107,6,1764,2,3,2,470,928,928,2,7,1997,1997,140,231500,1
140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,70.0,432,432,4,864,2,2,0,0,864,864,1,5,1971,1971,141,115000,0
